Project,Market Sector,EQS,UGS,FVS,SS,how3 Score,Growth Category,Valuation Category,SS (Rating),UGS dune,EQS dune,Static,Live,Dune Links,Symbol,EQSJSON
Lido DAO,,,,,92.06,,,,AA,,,,,,,"{""name"": ""Lido DAO"", ""sector"": ""Liquid staking"", ""scores"": {""earnings_quality"": 62.60100053261692}, ""peers"": [{""name"": ""Jito Labs"", ""scores"": {""earnings_quality"": 40.57981264730388}}, {""name"": ""Stader ETHx"", ""scores"": {""earnings_quality"": 39.25070817974617}}, {""name"": ""StakeWise"", ""scores"": {""earnings_quality"": 31.52352037258972}}, {""name"": ""Allstake"", ""scores"": {""earnings_quality"": 0.0}}], ""sector_averages"": {""earnings_quality"": 4.83, ""count"": 36}}"
Lido DAO,Liquid staking,62.60100053261692,79.24632352941175,70.40625000000001,92.06,,Strong Growth,Undervalued,AA,,,,,,,"{""name"": ""Lido DAO"", ""sector"": ""Liquid staking"", ""scores"": {""earnings_quality"": 62.60100053261692}, ""peers"": [{""name"": ""Jito Labs"", ""scores"": {""earnings_quality"": 40.57981264730388}}, {""name"": ""Stader ETHx"", ""scores"": {""earnings_quality"": 39.25070817974617}}, {""name"": ""StakeWise"", ""scores"": {""earnings_quality"": 31.52352037258972}}, {""name"": ""Allstake"", ""scores"": {""earnings_quality"": 0.0}}], ""sector_averages"": {""earnings_quality"": 4.83, ""count"": 36}}"
Lido Staked ETH,,,,,88.73,,,,AA,,,,,,,
Lido wstETH,,,,,84.49,,,,A,,,,,,,
Lifinity,Exchanges (DEX),0.0,36.43678160919541,,,,Slow Growth,,,,,,,,,
Lighter,Exchanges (DEX),0.0,18.181818181818183,,,,Stagnant/Declining,,,,,,,,,
Limitless,Prediction markets,0.0,,,,,,,,,,,,,,
Linea,Blockchains (L2),0.0,,,,,,,,,,,,,,
Liquid Collective,Liquid staking,0.0,30.0,,,,Slow Growth,,,,,,,,,
Liquid Staked ETH,,,,,69.28,,,,BB,,,,,,,
Liquidswap,Exchanges (DEX),0.0,55.43103448275863,,,,Steady Growth,,,,,,,,,
Liquity,Stablecoin issuers,56.19766082534869,65.0,48.88839285714286,,,Strong Growth,Fairly Valued,,,,,,,,
Lisk,Blockchains (L2),0.0,57.4295269947444,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
Lista DAO,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Litecoin,Blockchains (L1),0.0,84.84848484848484,38.16222084367246,83.71,,Exceptional Growth,Overvalued,A,,,,,,,
Litentry,Blockchains (L2),0.0,22.55829354235372,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Livepeer,Infrastructure,0.0,85.63829787234042,56.60714285714286,78.4,,Exceptional Growth,Fairly Valued,BBB,,,,,,,
LogX,Derivative exchanges,0.0,,,,,,,,,,,,,,
Lombard,Liquid staking,0.0,,,83.72,,,,A,,,,,,,
LooksRare,NFT marketplaces,0.0,57.81250000000001,25.55555555555556,,,Steady Growth,Overvalued,,,,,,,,
Loopring,Exchanges (DEX),0.0,84.91657397107898,58.33333333333332,,,Exceptional Growth,Fairly Valued,,,,,,,,
Lybra Finance,Stablecoin issuers,0.0,63.60119047619047,60.0,,,Steady Growth,Fairly Valued,,,,,,,,
Lynex,Exchanges (DEX),0.0,51.12068965517242,,,,Steady Growth,,,,,,,,,
MANTRA,Blockchains (L1),0.0,49.280303030303024,45.0,86.22,,Steady Growth,Fairly Valued,A,,,,,,,
MELANIA,,,,,50.0,,,,CC,,,,,,,
MELD,Blockchains (L1),0.0,0.0,,,,Stagnant/Declining,,,,,,,,,
MOG Coin,,,,,71.29,,,,BB,,,,,,,
MOOAR,NFT marketplaces,0.0,,,,,,,,,,,,,,
MUX,Derivative exchanges,31.49169524545232,54.74643736805068,64.91071428571429,,,Steady Growth,Fairly Valued,,,,,,,,
MX TOKEN,,,,,77.08,,,,BBB,,,,,,,
MYX.Finance,Derivative exchanges,0.0,,,,,,,,,,,,,,
M^0,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Magic Eden,NFT marketplaces,0.0,100.0,,91.24,,Exceptional Growth,,AA,,,,,,,
Magpie XYZ,Asset management,0.0,68.83870967741936,52.0,,,Strong Growth,Fairly Valued,,,,,,,,
Manifold.xyz,NFT marketplaces,0.0,,,,,,,,,,,,,,
Mansa Finance,Lending,0.0,,,,,,,,,,,,,,
Manta,Blockchains (L2),36.557992817136686,63.147381515621184,47.76190476190476,,,Steady Growth,Fairly Valued,,,,,,,,
Mantle LSP,,,,,84.66,,,,A,,,,,,,
Mantle Network,Blockchains (L2),0.0,89.472049689441,52.0,86.19,,Exceptional Growth,Fairly Valued,A,,,,,,,
Maple Finance,Lending,54.32192715059285,63.62573099415204,56.830357142857146,92.39,,Steady Growth,Fairly Valued,AA,,,,,,,"{""name"": ""Maple Finance"", ""sector"": ""Lending"", ""scores"": {""earnings_quality"": 54.32192715059285}, ""peers"": [{""name"": ""Aave"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Compound"", ""scores"": {""earnings_quality"": 32.43084976560476}}, {""name"": ""Vechain"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Venus USDT"", ""scores"": {""earnings_quality"": 58.729369995647765}}], ""sector_averages"": {""earnings_quality"": 8.52, ""count"": 62}}"
Marinade Staked SOL,,,,,77.42,,,,BBB,,,,,,,
Marinade Staked SOL,Liquid staking,0.0,65.11764705882352,,77.42,,Strong Growth,,BBB,,,,,,,
Mars Protocol,Blockchains (L1),0.0,3.0303030303030303,,,,Stagnant/Declining,,,,,,,,,
Maverick Protocol,Exchanges (DEX),0.0,65.4337837496208,30.390625000000004,,,Strong Growth,Overvalued,,,,,,,,
Mean Finance,Exchanges (DEX),10.694342498423673,,,,,,,,,,,,,,
Mellow Protocol,Infrastructure,0.0,,,,,,,,,,,,,,
Membrane Finance,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Mendi Finance,Lending,0.0,31.052631578947363,,,,Slow Growth,,,,,,,,,
Mento,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Mereo,Social,0.0,,,,,,,,,,,,,,
Meridian,Stablecoin issuers,0.0,23.928571428571427,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Merkle Trade,Derivative exchanges,43.99207475840234,52.532421835729366,90.87301587301587,,,Steady Growth,Undervalued,,,,,,,,
Merkly,Bridges,0.0,,,,,,,,,,,,,,
Merlin Chain,Blockchains (L2),0.0,69.42307692307692,,,,Strong Growth,,,,,,,,,
Meso Finance,Lending,0.0,,,,,,,,,,,,,,
Meta Pool DAO,Liquid staking,0.0,11.76470588235294,,,,Stagnant/Declining,,,,,,,,,
MetaDAO,Infrastructure,0.0,24.8936170212766,,,,Stagnant/Declining,,,,,,,,,
MetaMask,Exchanges (DEX),0.0,81.81818181818183,,,,Exceptional Growth,,,,,,,,,
Metal,Blockchains (L2),0.0,54.435618729096994,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
Metaplex,NFT marketplaces,0.0,77.77777777777779,,78.27,,Strong Growth,,BBB,,,,,,,
Metavault.Trade,Derivative exchanges,0.0,45.43967116627216,37.142857142857146,,,Steady Growth,Overvalued,,,,,,,,
Meteor Wallet,Infrastructure,0.0,,,,,,,,,,,,,,
Meteora,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Metis,Blockchains (L2),0.0,66.53846153846155,,,,Strong Growth,,,,,,,,,
Metropolis,Exchanges (DEX),0.0,62.721542454579165,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
Micro3,Social,0.0,,,,,,,,,,,,,,
Midas,Asset management,0.0,,,,,,,,,,,,,,
MimbleWimbleCoin,,,,,60.19,,,,B,,,,,,,
Mimic,Infrastructure,0.0,,,,,,,,,,,,,,
Mina Protocol,Blockchains (L1),0.0,28.089225589225588,23.839950372208435,80.76,,Slow Growth,Overvalued,A,,,,,,,
Mint Blockchain,Blockchains (L2),0.0,,,,,,,,,,,,,,
Mint Club,Infrastructure,0.0,,,,,,,,,,,,,,
Mito Finance,Asset management,0.0,,,,,,,,,,,,,,
Mocaverse,Exchanges (DEX),27.030231384788603,40.23071721104258,29.131155303030305,85.15,,Slow Growth,Overvalued,A,,,,,,,
Mocaverse,,,,,85.15,,,,A,,,,,,,
Mode Network,Blockchains (L2),0.0,61.870883907033736,,,,Steady Growth,,,,,,,,,
Mole,Asset management,0.0,,,,,,,,,,,,,,
Monerium,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Monero,,,,,74.55,,,,BBB,,,,,,,
Moola Market,Lending,0.0,21.297514619883035,50.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Moonbeam,Blockchains (L2),0.0,63.06155952061874,,,,Steady Growth,,,,,,,,,
Moonwell,Lending,42.359734228324896,75.56390977443608,58.60576923076924,,,Strong Growth,Fairly Valued,,,,,,,,
Morpho,Lending,0.0,81.08004385964914,84.07142857142858,93.26,,Exceptional Growth,Undervalued,AA,,,,,,,
MorphoAave,,,,,78.98,,,,BBB,,,,,,,
Mountain Protocol,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Movement Labs,Blockchains (L1),0.0,89.39393939393939,,84.71,,Exceptional Growth,,A,,,,,,,
Movement Labs,,,,,84.71,,,,A,,,,,,,
MultiversX,Blockchains (L1),30.99086041551533,52.53787878787879,53.08238636363636,83.43,,Steady Growth,Fairly Valued,A,,,,,,,"{""name"": ""MultiversX"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 30.99086041551533}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Mummy Finance,Derivative exchanges,10.67366478037054,48.53448275862069,,,,Steady Growth,,,,,,,,,
MyShell,Infrastructure,0.0,,,,,,,,,,,,,,
MySwap,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Mythos,Blockchains (L2),0.0,60.21319925718879,,71.34,,Steady Growth,,BB,,,,,,,
NAVI Protocol,Lending,0.0,97.36842105263158,,,,Exceptional Growth,,,,,,,,,
NEAR Protocol,Blockchains (L1),45.6083744084649,34.00568181818182,49.32692307692307,90.96,,Slow Growth,Fairly Valued,AA,,,,,,,"{""name"": ""NEAR Protocol"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 45.6083744084649}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
NEM,,,,,61.28,,,,B,,,,,,,
NFTX,NFT marketplaces,0.0,34.583333333333336,56.25000000000001,,,Slow Growth,Fairly Valued,,,,,,,,
Nano,,,,,86.57,,,,AA,,,,,,,
Navigator,Derivative exchanges,0.0,56.82560296846012,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
Nearlend DAO,Lending,0.0,,,,,,,,,,,,,,
Neo,,,,,78.3,,,,BBB,,,,,,,
Neptune Finance,Lending,0.0,,,,,,,,,,,,,,
Nervos Network,,,,,80.63,,,,A,,,,,,,
NeuroWeb,Blockchains (L2),0.0,33.57607114140215,,,,Slow Growth,,,,,,,,,
Nexo,,,,,78.12,,,,BBB,,,,,,,
Nexus Mutual,Insurance,34.314439797837025,,,,,,,,,,,,,,
Nibiru,Blockchains (L1),0.0,18.181818181818183,,,,Stagnant/Declining,,,,,,,,,
Nile Exchange,Exchanges (DEX),0.0,31.83908045977012,,,,Slow Growth,,,,,,,,,
Nillion,Blockchains (L1),0.0,81.81818181818183,,,,Exceptional Growth,,,,,,,,,
Ninja Blaze,Gaming,0.0,,,,,,,,,,,,,,
NinjaVault,Asset management,0.0,,,,,,,,,,,,,,
Nodle,Blockchains (L2),0.0,29.314763643037764,52.0,,,Slow Growth,Fairly Valued,,,,,,,,
Nostra,Lending,0.0,38.57212475633528,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
Notcoin,,,,,85.92,,,,A,,,,,,,
Notional Finance,Lending,0.0,17.975146198830412,22.22222222222222,,,Stagnant/Declining,Overvalued,,,,,,,,
Nouns DAO,Asset management,0.0,,50.0,,,,Fairly Valued,,,,,,,,
Numerai,Asset management,0.0,88.36754643206255,55.0,,,Exceptional Growth,Fairly Valued,,,,,,,,
OFFICIAL TRUMP,,,,,75.89,,,,BBB,,,,,,,
OKB,,,,,92.69,,,,AA,,,,,,,
OP Mainnet,Blockchains (L2),52.06600120572876,89.78010324775966,48.47619047619048,,,Exceptional Growth,Fairly Valued,,,,,,,,
ORBLER,,,,,48.62,,,,CC,,,,,,,
ORDI(BRC-20),,,,,50.8,,,,CC,,,,,,,
OUSG,,,,,67.8,,,,BB,,,,,,,
Oasis Network,,,,,80.85,,,,A,,,,,,,
Ocean Protocol,Infrastructure,0.0,39.72269071094966,52.0,,,Slow Growth,Fairly Valued,,,,,,,,
Octopus Network,Asset management,0.0,52.59824046920821,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
Odos,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Olympus,,,,,69.93,,,,BB,,,,,,,
OmniBTC (OmniSwap),Exchanges (DEX),0.0,,,,,,,,,,,,,,
Ondo Finance,Asset management,0.0,100.0,55.0,87.5,,Exceptional Growth,Fairly Valued,AA,,,,,,,
Ontology,,,,,83.48,,,,A,,,,,,,
Onyx Protocol,,,,,86.3,,,,A,,,,,,,
OpenChat,Social,31.713175130262343,90.31746031746032,88.8888888888889,,,Exceptional Growth,Undervalued,,,,,,,,
OpenLeverage,Derivative exchanges,0.0,48.285714285714285,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
OpenOcean,Exchanges (DEX),0.0,49.75973303670746,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
OpenSea,NFT marketplaces,28.24235782237205,100.0,,,,Exceptional Growth,,,,,,,,,
Openbook,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Optimism,Bridges,0.0,75.9647495361781,,92.93,,Strong Growth,,AA,,,,,,,
Optimism Gateway,Bridges,0.0,75.9647495361781,,,,Strong Growth,,,,,,,,,
Optopia,Blockchains (L2),0.0,22.25274725274725,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Opus,Stablecoin issuers,0.0,40.9375,,,,Slow Growth,,,,,,,,,
Opyn,Derivative exchanges,0.0,48.63734326018809,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
Orbiter Finance,Bridges,0.0,,,,,,,,,,,,,,
Orca,Exchanges (DEX),0.0,93.10344827586206,50.0,75.05,,Exceptional Growth,Fairly Valued,BBB,,,,,,,
Orderly Network,Derivative exchanges,0.0,80.76066790352505,55.0,,,Exceptional Growth,Fairly Valued,,,,,,,,
OriginTrail,Stablecoin issuers,41.770573128435935,71.47321428571428,54.12202380952381,70.57,,Strong Growth,Fairly Valued,BB,,,,,,,
OriginTrail,,,,,70.57,,,,BB,,,,,,,
Osmosis,Exchanges (DEX),0.0,47.34885803851322,34.375,,,Steady Growth,Overvalued,,,,,,,,
Out,Social,0.0,,,,,,,,,,,,,,
Overnight,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Overtake,Gaming,0.0,,,,,,,,,,,,,,
PACT,Lending,0.0,23.0458089668616,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
PAX Gold,,,,,93.61,,,,AA,,,,,,,
PRDT,Prediction markets,0.0,,,,,,,,,,,,,,
PancakeSwap,Exchanges (DEX),20.610528563344047,99.14772727272728,81.26623376623378,91.84,,Exceptional Growth,Undervalued,AA,,,,,,,"{""name"": ""PancakeSwap"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""earnings_quality"": 20.610528563344047}, ""peers"": [{""name"": ""Aerodrome Finance"", ""scores"": {""earnings_quality"": 60.788622351381406}}, {""name"": ""Curve DAO Token"", ""scores"": {""earnings_quality"": 56.84522301549867}}, {""name"": ""Ethena"", ""scores"": {""earnings_quality"": 57.15610750876476}}, {""name"": ""Sushiswap"", ""scores"": {""earnings_quality"": 47.83216668659891}}], ""sector_averages"": {""earnings_quality"": 8.69, ""count"": 136}}"
Pangolin,Exchanges (DEX),35.80482073590884,56.60579305288705,35.93560606060606,,,Steady Growth,Overvalued,,,,,,,,
Panora Exchange,Exchanges (DEX),0.0,,,,,,,,,,,,,,
ParaSwap,Exchanges (DEX),58.46796562852716,44.93453900798868,80.86174242424242,,,Slow Growth,Undervalued,,,,,,,,
Paradex,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Paradise Tycoon,Gaming,0.0,,,,,,,,,,,,,,
ParagonsDAO,Gaming,0.0,11.328976034858387,52.5,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Parallel,Blockchains (L2),0.0,,,,,,,,,,,,,,
Particle,Derivative exchanges,0.0,51.73701298701299,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
Paxos,Stablecoin issuers,0.0,,,,,,,,,,,,,,
PayPal USD,Stablecoin issuers,0.0,,50.0,89.93,,,Fairly Valued,AA,,,,,,,
PayPal USD,,,,,89.93,,,,AA,,,,,,,
Pendle,Derivative exchanges,44.20295270085844,94.4047485765466,51.42857142857143,89.37,,Exceptional Growth,Fairly Valued,AA,,,,,,,"{""name"": ""Pendle"", ""sector"": ""Derivative exchanges"", ""scores"": {""earnings_quality"": 44.20295270085844}, ""peers"": [{""name"": ""GMX"", ""scores"": {""earnings_quality"": 50.319127872574335}}, {""name"": ""Synthetix"", ""scores"": {""earnings_quality"": 30.536112044822108}}, {""name"": ""Hegic"", ""scores"": {""earnings_quality"": 54.79070870679547}}, {""name"": ""SynFutures"", ""scores"": {""earnings_quality"": 44.47377406233293}}], ""sector_averages"": {""earnings_quality"": 8.13, ""count"": 63}}"
Pendulum,Blockchains (L2),0.0,22.881456522571504,,,,Stagnant/Declining,,,,,,,,,
Pepe,,,,,86.58,,,,AA,,,,,,,
Perpetual Protocol,Derivative exchanges,17.289241196842003,70.24213701938456,37.72916666666667,,,Strong Growth,Overvalued,,,,,,,,
Phala,Blockchains (L2),0.0,65.98589998851321,,,,Strong Growth,,,,,,,,,
Pharaoh,Exchanges (DEX),11.785450357889486,57.98437658003843,88.22510822510822,,,Steady Growth,Undervalued,,,,,,,,
Phoenix,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Phoenix Bonds,Asset management,0.0,,,,,,,,,,,,,,
Photon,Derivative exchanges,0.0,,,,,,,,,,,,,,
Pi,Derivative exchanges,,30.003098810056944,20.9375,62.4,,Slow Growth,Overvalued,B,,,,,,,
Pichi Finance,Derivative exchanges,0.0,23.60296846011132,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Pika Protocol,Derivative exchanges,,30.003098810056944,20.9375,,,Slow Growth,Overvalued,,,,,,,,
Pixels,Gaming,0.0,64.77124183006535,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
Pixer,,,,,84.83,,,,A,,,,,,,
Planet IX,Gaming,0.0,61.66666666666666,55.0,,,Steady Growth,Fairly Valued,,,,,,,,
PlayEmber,Gaming,0.0,,,,,,,,,,,,,,
Plume Network,Blockchains (L1),0.0,40.37878787878788,45.0,87.81,,Slow Growth,Fairly Valued,AA,,,,,,,
Pnut,,,,,70.16,,,,BB,,,,,,,
Pocket Network,Infrastructure,0.0,39.7872340425532,48.21428571428572,,,Slow Growth,Fairly Valued,,,,,,,,
Polimec,Blockchains (L2),0.0,31.74589347934295,,,,Slow Growth,,,,,,,,,
Polkadex,Blockchains (L2),0.0,22.35264735264735,,,,Stagnant/Declining,,,,,,,,,
Polkadot,Blockchains (L1),29.47191562406533,43.33908279220779,36.82692307692307,84.11,,Slow Growth,Overvalued,A,,,,,,,"{""name"": ""Polkadot"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 29.47191562406533}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Polter Finance,Lending,0.0,0.0,,,,Stagnant/Declining,,,,,,,,,
Polygon,Blockchains (L1),44.83821236047309,72.31752795815297,67.28750000000001,,,Strong Growth,Fairly Valued,,,,,,,,
Polygon zkEVM,Blockchains (L2),0.0,,,,,,,,,,,,,,
Polymarket,Prediction markets,0.0,100.0,,,,Exceptional Growth,,,,,,,,,
Polymesh,,,,,81.59,,,,A,,,,,,,
Polynomial Protocol,Derivative exchanges,0.0,45.94827586206897,,,,Steady Growth,,,,,,,,,
PoolTogether,Asset management,0.0,49.80014357282502,37.26984126984127,,,Steady Growth,Overvalued,,,,,,,,
Pragma,Infrastructure,0.0,,,,,,,,,,,,,,
Predict Fun,Prediction markets,0.0,,,,,,,,,,,,,,
Premia,Derivative exchanges,0.0,43.760056138442856,40.55555555555556,,,Slow Growth,Fairly Valued,,,,,,,,
Primex Finance,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Prisma Finance,Stablecoin issuers,0.0,47.63392857142858,49.99999999999999,,,Steady Growth,Fairly Valued,,,,,,,,
Privy,Infrastructure,0.0,,,,,,,,,,,,,,
Prometeus,,,,,76.22,,,,BBB,,,,,,,
Proof of Play,Blockchains (L3),0.0,,,,,,,,,,,,,,
Pudgy Penguins,,,,,83.89,,,,A,,,,,,,
Puffer Finance,Liquid staking,0.0,,,,,,,,,,,,,,
PumpBTC,Liquid staking,0.0,,,72.64,,,,BBB,,,,,,,
Pyth Network,Oracles,0.0,,,88.19,,,,AA,,,,,,,
Qtum,,,,,84.24,,,,A,,,,,,,
Quant,,,,,77.34,,,,BBB,,,,,,,
QuestN,Infrastructure,0.0,,,,,,,,,,,,,,
QuickSwap,Exchanges (DEX),51.750236701783,80.12711935820948,77.10714285714286,,,Exceptional Growth,Undervalued,,,,,,,,
RARI Chain,Blockchains (L3),0.0,,,,,,,,,,,,,,
REVOX (ex ReadON),Social,0.0,,,,,,,,,,,,,,
RSK Smart Bitcoin,,,,,72.3,,,,BBB,,,,,,,
RabbitHole,Gaming,0.0,,,,,,,,,,,,,,
RabbitSwap,Exchanges (DEX),0.0,,,,,,,,,,,,,,
RabbitX,Derivative exchanges,0.0,56.0556586270872,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
Radiant Capital,Lending,14.170985570883188,51.703216374269005,30.312500000000004,,,Steady Growth,Overvalued,,,,,,,,
Raft,Stablecoin issuers,0.0,14.999999999999998,48.33333333333333,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Rain.fi,Lending,0.0,,,,,,,,,,,,,,
Ramses Exchange,Exchanges (DEX),23.84486766445177,44.565305094886575,63.10876623376623,,,Slow Growth,Fairly Valued,,,,,,,,
Rarible,NFT marketplaces,36.22271618026297,65.625,51.89285714285715,,,Strong Growth,Fairly Valued,,,,,,,,
Ravencoin,,,,,73.45,,,,BBB,,,,,,,
Raydium,Exchanges (DEX),0.0,94.2528735632184,,82.42,,Exceptional Growth,,A,,,,,,,
ReactorFusion,Lending,0.0,23.39181286549708,55.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Ready Games Network,Gaming,0.0,,,,,,,,,,,,,,
RealT,Asset management,0.0,46.20967741935484,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
Rebalance,Asset management,0.0,,,,,,,,,,,,,,
RedStone,Blockchains (L2),0.0,,,84.93,,,,A,,,,,,,"{""name"": ""RedStone"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 32.063232086680955}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
RedStone,Blockchains (L1),32.063232086680955,68.9659090909091,60.949519230769226,84.93,,Strong Growth,Fairly Valued,A,,,,,,,"{""name"": ""RedStone"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 32.063232086680955}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Ref Finance,Exchanges (DEX),0.0,43.362068965517246,,,,Slow Growth,,,,,,,,,
Reflexer,Stablecoin issuers,34.77475120969868,48.30357142857142,60.90476190476192,,,Steady Growth,Fairly Valued,,,,,,,,
Render Network,Bridges,0.0,45.454545454545446,42.22222222222223,86.28,,Steady Growth,Fairly Valued,A,,,,,,,
Render Network,Infrastructure,0.0,91.6969382459782,55.99999999999999,86.28,,Exceptional Growth,Fairly Valued,A,,,,,,,
Renzo,Liquid staking,0.0,73.07843137254903,55.0,,,Strong Growth,Fairly Valued,,,,,,,,
ResearchHub,Infrastructure,0.0,36.23248572911261,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
Reserve Rights,,,,,88.06,,,,AA,,,,,,,
Reserve Rights,Stablecoin issuers,0.0,,,88.06,,,,AA,,,,,,,
Reservoir,Infrastructure,0.0,,,,,,,,,,,,,,
Reservoir.xyz,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Resolv,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Revert Finance,Infrastructure,0.0,,,,,,,,,,,,,,
Reya,Blockchains (L2),0.0,,,,,,,,,,,,,,
Rhea Finance,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Rhino.fi,Exchanges (DEX),0.0,6.896551724137932,,,,Stagnant/Declining,,,,,,,,,
Rho Protocol,Derivative exchanges,0.0,,,,,,,,,,,,,,
Ribbon Finance,Asset management,40.50989099012236,51.90134714076247,30.505952380952383,,,Steady Growth,Overvalued,,,,,,,,
Ring Protocol,Exchanges (DEX),0.0,9.775305895439375,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Rings,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Ripple USD,,,,,72.86,,,,BBB,,,,,,,
Robonomics Network,Blockchains (L2),0.0,45.459268991877686,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
Robots.Farm,Gaming,0.0,28.73093681917211,50.0,,,Slow Growth,Fairly Valued,,,,,,,,
Rocket Pool ETH,,,,,85.57,,,,A,,,,,,,
Rocket Pool ETH,Liquid staking,0.0,52.80024509803921,45.0,85.57,,Steady Growth,Fairly Valued,A,,,,,,,
Rollbit Coin,,,,,69.86,,,,BB,,,,,,,
