Project,Market Sector,Safety Score,Safety Grade,Earnings Quality Score,User Growth Score,Growth Category,Fair Value Score,Valuation Category,Market Cap to Revenue Ratio
Safe,Infrastructure,69.52,BB,0.0,57.03976388168137,Steady Growth,50.0,Fairly Valued,
SafePal,,91.11,AA,,,,,,
Sakai Vault,Derivative exchanges,,,0.0,49.493506493506494,Steady Growth,55.0,Fairly Valued,
Sanctum,Liquid staking,,,0.0,39.41176470588236,Slow Growth,,,
Sanko,Blockchains (L3),,,0.0,,,,,
Saros Finance,,75.98,BBB,,,,,,
SatLayer,Liquid staking,,,0.0,,,,,
Satori Finance,Derivative exchanges,,,0.0,,,,,
Save,Lending,,,0.0,20.526315789473685,Stagnant/Declining,,,
Scallop,Lending,,,0.0,55.0,Steady Growth,,,
Scroll,Blockchains (L2),,,0.0,65.94895087490904,Strong Growth,,,
Seamless Protocol,Lending,,,37.87502872258241,62.473806042885,Steady Growth,42.767857142857146,Fairly Valued,0.0x
Secret Network,Blockchains (L1),,,0.0,28.181818181818183,Slow Growth,,,
Sei Protocol,Blockchains (L1),90.59,AA,0.0,56.13636363636363,Steady Growth,,,
Sellix,Infrastructure,,,0.0,,,,,
SendingMe,Social,,,0.0,,,,,
Seraph,Gaming,,,0.0,79.52069716775598,Strong Growth,55.0,Fairly Valued,
Shadow,Exchanges (DEX),,,0.0,72.51279199110122,Strong Growth,50.0,Fairly Valued,
Shape,Blockchains (L2),,,0.0,55.88559814169572,Steady Growth,,,
ShapeShift,Exchanges (DEX),,,0.0,61.21245828698554,Steady Growth,52.0,Fairly Valued,
Shiba Swap,,92.98,AA,,,,,,
Shoebill Finance,Lending,,,20.95127825728343,56.97368421052632,Steady Growth,,,
Shrapnel,Gaming,,,0.0,57.04248366013072,Steady Growth,50.0,Fairly Valued,
Shuffle,Prediction markets,,,0.0,80.83333333333334,Exceptional Growth,45.0,Fairly Valued,
Siacoin,,73.82,BBB,,,,,,
SideShift,Infrastructure,,,0.0,15.204981837052411,Stagnant/Declining,45.0,Fairly Valued,
Silo Finance,Lending,,,43.02124926877824,45.29605263157895,Steady Growth,39.00000000000001,Overvalued,
SingSing,Social,,,0.0,,,,,
Skip Protocol,Infrastructure,,,0.0,,,,,
Sky (formerly MakerDAO),Stablecoin issuers,91.99,AA,77.66717859436147,63.81696428571428,Steady Growth,45.0,Fairly Valued,
Sky (formerly MakerDAO),,91.99,AA,,,,,,
Slime Revolution,Gaming,,,0.0,,,,,
Slingshot,Exchanges (DEX),,,0.0,,,,,
SmarDex,Exchanges (DEX),,,0.0,46.63403781979978,Steady Growth,50.0,Fairly Valued,
Snek,,61.48,B,,,,,,
Socket,Infrastructure,,,0.0,,,,,
Sofamon,Social,,,0.0,,,,,
Solana,Blockchains (L1),91.78,AA,36.12038312840085,96.22273151684917,Exceptional Growth,79.43181818181817,Undervalued,0.0x
Solana Swap,,74.1,BBB,,,,,,
Solayer,Liquid staking,81.15,A,0.0,100.0,Exceptional Growth,,,
SolidLizard,Exchanges (DEX),,,4.575468576928085,20.327636768126204,Stagnant/Declining,32.93560606060606,Overvalued,
Sologenic,Exchanges (DEX),,,0.0,66.63793103448276,Strong Growth,,,
Solv Protocol,Derivative exchanges,,,0.0,86.00297485765468,Exceptional Growth,65.09453781512606,Fairly Valued,0.0x
Soneium,Blockchains (L2),,,0.0,93.61207897793264,Exceptional Growth,,,
Sonic Labs (prev. Fantom),Blockchains (L1),89.26,AA,,60.70600967659791,Steady Growth,84.6590909090909,Undervalued,0.0x
Sonic Labs (prev. Fantom),Blockchains (L1),89.26,AA,21.674435342567936,32.89152024446142,Slow Growth,36.875,Overvalued,
Sonic Labs (prev. Fantom),,89.26,AA,,,,,,
Sophon,Blockchains (L2),,,0.0,,,,,
Sorare,Gaming,,,0.0,,,,,
Sound.xyz,NFT marketplaces,,,,20.0,Stagnant/Declining,,,
Spacebar,Gaming,,,0.0,,,,,
Spark Protocol,Lending,,,0.0,45.13157894736841,Steady Growth,,,
Spectra,Asset management,,,0.0,34.39882697947213,Slow Growth,45.0,Fairly Valued,
Spin,Derivative exchanges,,,0.0,,,,,
SpookySwap,Exchanges (DEX),,,20.87234771202789,48.97434965618364,Steady Growth,40.45454545454545,Fairly Valued,0.0x
Squid,Infrastructure,,,0.0,,,,,
StaFi,Liquid staking,,,0.0,19.352941176470587,Stagnant/Declining,,,
Stabble,Exchanges (DEX),,,0.0,,,,,
Stability,Asset management,,,0.0,31.21212121212121,Slow Growth,,,
Stacks,Blockchains (L2),81.23,A,0.0,90.3846153846154,Exceptional Growth,,,
Stader ETHx,,64.22,BB,,,,,,
Stader ETHx,Liquid staking,64.22,BB,39.25070817974617,44.74264705882353,Slow Growth,11.250000000000002,Overvalued,0.0x
Staika,,86.75,AA,,,,,,
Stake DAO,Asset management,,,0.0,47.4266862170088,Steady Growth,50.0,Fairly Valued,
Stake.com,Prediction markets,,,0.0,,,,,
StakeStone,Liquid staking,,,0.0,62.5,Steady Growth,,,
StakeWise,Liquid staking,,,31.52352037258972,27.604166666666664,Slow Growth,72.65625,Undervalued,0.0x
Star Atlas,Gaming,,,0.0,67.5,Strong Growth,,,
Starbase,Exchanges (DEX),,,0.0,,,,,
Stargate,Bridges,,,36.96771721829992,53.22646103896104,Steady Growth,33.90625,Overvalued,0.0x
StarkGate,Bridges,,,0.0,,,,,
StarkNet,Blockchains (L2),85.12,A,0.0,74.82779415706244,Strong Growth,22.5,Overvalued,0.0x
StarryNift,Gaming,,,0.0,81.2636165577342,Exceptional Growth,55.0,Fairly Valued,
Stellar,Blockchains (L1),86.48,A,0.0,75.75757575757575,Strong Growth,38.05288461538461,Overvalued,0.0x
Storj,Infrastructure,87.44,AA,0.0,77.19252724442137,Strong Growth,55.0,Fairly Valued,
Story Protocol,,88.12,AA,,,,,,
Stride,Liquid staking,,,0.0,33.529411764705884,Slow Growth,60.0,Fairly Valued,
Stryke,Derivative exchanges,,,0.0,36.00371057513915,Slow Growth,45.0,Fairly Valued,
Subsocial,Blockchains (L2),,,0.0,14.867902132710494,Stagnant/Declining,,,
Succinct,Infrastructure,,,0.0,,,,,
Sudoswap,NFT marketplaces,,,5.512477450205861,35.833333333333336,Slow Growth,35.0,Overvalued,0.0x
Sui,Blockchains (L1),88.49,AA,0.0,87.87878787878788,Exceptional Growth,40.0,Fairly Valued,
Suilend,Lending,,,0.0,,,,,
Sun Swap,Exchanges (DEX),,,0.0,,,,,
SunSwap,,81.0,A,,,,,,
SunSwap,Exchanges (DEX),81.0,A,0.0,87.20800889877643,Exceptional Growth,55.0,Fairly Valued,
Super Champs,Gaming,,,0.0,,,,,
SuperSwap,Exchanges (DEX),,,0.0,,,,,
SuperVerse,,82.71,A,,,,,,
SuperVerse DAO,,75.46,BBB,,,,,,
Superform,Asset management,,,0.0,,,,,
Superposition,Lending,,,0.0,,,,,
Superseed,Blockchains (L2),,,0.0,46.91347270615563,Steady Growth,,,
Superstate,Asset management,,,0.0,,,,,
Sushiswap,Exchanges (DEX),85.11,A,47.83216668659891,88.87737216435771,Exceptional Growth,49.53125000000001,Fairly Valued,0.0x
SwapX,Exchanges (DEX),,,0.0,49.2035595105673,Steady Growth,45.0,Fairly Valued,
Swarm,Infrastructure,,,0.0,41.41417698371513,Slow Growth,49.642857142857146,Fairly Valued,0.0x
Sweatcoin,Social,,,0.0,29.629629629629623,Slow Growth,45.0,Fairly Valued,
Swell,Liquid staking,,,0.0,38.36397058823529,Slow Growth,50.0,Fairly Valued,
Swipe,,89.96,AA,,,,,,
SwissBorg,,70.1,BB,,,,,,
Switchboard,Infrastructure,,,0.0,,,,,
Symbiosis,Exchanges (DEX),,,0.0,56.37819799777531,Steady Growth,45.0,Fairly Valued,
Symbiotic,Liquid staking,,,0.0,80.0,Exceptional Growth,,,
SynFutures,Derivative exchanges,,,44.47377406233293,81.21869202226347,Exceptional Growth,72.44047619047619,Undervalued,0.0x
Synapse,Bridges,,,23.61587787204373,37.82771915584416,Slow Growth,62.43750000000001,Fairly Valued,0.0x
SyncSwap,Exchanges (DEX),,,19.91686098163186,43.06818181818181,Slow Growth,,,
Synonym Finance,Lending,,,0.0,18.971734892787524,Stagnant/Declining,45.0,Fairly Valued,
Synthetix,Derivative exchanges,83.71,A,30.536112044822108,80.07145256221611,Exceptional Growth,49.49404761904763,Fairly Valued,0.0x
Synthswap,Exchanges (DEX),,,0.0,32.35669262143122,Slow Growth,55.0,Fairly Valued,
THORChain,Exchanges (DEX),89.75,AA,0.0,98.85057471264368,Exceptional Growth,55.0,Fairly Valued,
TRON,Blockchains (L1),87.49,AA,89.21328539488609,88.24044011544011,Exceptional Growth,93.07692307692308,Undervalued,0.0x
Taiko,Blockchains (L2),,,0.0,58.54037267080746,Steady Growth,45.0,Fairly Valued,
Talent Protocol,Social,,,0.0,59.16666666666666,Steady Growth,52.0,Fairly Valued,
Talis Protocol,NFT marketplaces,,,0.0,21.11111111111111,Stagnant/Declining,,,
TapiocaDAO,Stablecoin issuers,,,0.0,26.666666666666664,Slow Growth,52.0,Fairly Valued,
Tapos,Gaming,,,0.0,,,,,
Telcoin,,85.95,A,,,,,,
Term Finance,Lending,,,0.0,0.0,Stagnant/Declining,45.0,Fairly Valued,
Term Structure,Blockchains (L2),,,0.0,,,,,
Terra Classic,,50.49,CC,,,,,,
Terra Classic,Blockchains (L1),50.49,CC,0.0,34.2293771043771,Slow Growth,29.375,Overvalued,
Tether,Stablecoin issuers,83.15,A,97.6930345904363,,,,,
Tether Gold,,85.1,A,,,,,,
Tevi,Social,,,0.0,,,,,
Tezos,Blockchains (L1),90.36,AA,0.0,38.78787878787879,Slow Growth,28.740835777126097,Overvalued,0.0x
Thala,Exchanges (DEX),,,0.0,45.08620689655172,Steady Growth,,,
Thales,Derivative exchanges,,,5.54738572289759,57.49369242210991,Steady Growth,34.673611111111114,Overvalued,0.0x
The Arena,Social,,,0.0,,,,,
The Graph,Infrastructure,,,27.46709487715917,66.66858180739862,Strong Growth,47.67857142857143,Fairly Valued,0.0x
The Lost Glitches,Gaming,,,0.0,,,,,
The Open Network,,94.7,AAA,,,,,,
The Sandbox,,93.89,AA,,,,,,
The Standard,Lending,,,0.0,36.315789473684205,Slow Growth,,,
Theta Fuel,,73.68,BBB,,,,,,
Theta Network,Asset management,93.24,AA,0.0,45.625,Steady Growth,,,
Thetanuts,Asset management,,,0.0,45.625,Steady Growth,,,
Thetis Market,Exchanges (DEX),,,0.0,,,,,
Threshold Network,,88.83,AA,,,,,,
Thruster,Exchanges (DEX),,,20.190706320205766,45.25542901203357,Steady Growth,64.78896103896103,Fairly Valued,0.0x
Time.fun,Social,,,0.0,,,,,
Tokemak,Asset management,,,37.32349428436831,60.27126099706746,Steady Growth,54.29017857142858,Fairly Valued,0.0x
Tokenlon,Exchanges (DEX),,,62.00461353030645,41.16273974449726,Slow Growth,62.05681818181819,Fairly Valued,0.0x
Tornado Cash,Infrastructure,,,40.6421287830892,54.8802728148862,Steady Growth,72.1875,Undervalued,0.0x
Toshi,,69.36,BB,,,,,,
Toucan Protocol,Infrastructure,,,0.0,32.22222222222222,Slow Growth,,,
Trojan,Infrastructure,,,0.0,,,,,
TruFin,Liquid staking,,,0.0,,,,,
TrueFi,Lending,,,0.0,43.94554093567252,Slow Growth,18.142857142857142,Overvalued,0.0x
TrueMarkets,Prediction markets,,,0.0,,,,,
TrueUSD,Stablecoin issuers,89.43,AA,0.0,84.52380952380952,Exceptional Growth,55.0,Fairly Valued,
Trust Wallet,,91.66,AA,,,,,,
Turbo,Exchanges (DEX),76.63,BBB,0.0,53.706896551724135,Steady Growth,,,
Turbos Finance,Exchanges (DEX),,,0.0,53.706896551724135,Steady Growth,,,
Typus Finance,Asset management,,,0.0,,,,,
ULTIMA,,78.2,BBB,,,,,,
UMA,Infrastructure,,,0.0,67.77666061235081,Strong Growth,52.5,Fairly Valued,
USDD (Decentralized USD),,81.88,A,,,,,,
UWON Coin,ERC20 Tokens,,,0.0,0.0,Stagnant/Declining,,,
UXLINK,Social,84.53,A,0.0,100.0,Exceptional Growth,55.0,Fairly Valued,
UXLINK,Blockchains (L2),84.53,A,,85.55942702284166,Exceptional Growth,,,
UXUY,Exchanges (DEX),,,0.0,,,,,
Ubeswap,Exchanges (DEX),,,0.0,36.26251390433816,Slow Growth,45.0,Fairly Valued,
UniDex,Derivative exchanges,,,0.0,28.181818181818183,Slow Growth,45.0,Fairly Valued,
Unipilot,Asset management,,,0.0,42.36391129032258,Slow Growth,45.0,Fairly Valued,
Unique Network,Blockchains (L2),,,0.0,30.869452846804755,Slow Growth,,,
Uniswap,Exchanges (DEX),94.28,AAA,0.0,98.44734890619208,Exceptional Growth,59.54101562500001,Fairly Valued,0.0x
Uniswap,Blockchains (L2),94.28,AAA,,77.58420441347272,Strong Growth,,,
Uniswap Labs,Exchanges (DEX),,,53.83258939454786,90.9090909090909,Exceptional Growth,,,
Universal,Infrastructure,,,0.0,,,,,
Unus Sed Leo,,85.62,A,,,,,,
Usual,Stablecoin issuers,,,22.917172470675563,84.4047619047619,Exceptional Growth,93.60000000000002,Undervalued,0.0x
VVS Finance,,68.45,BB,,,,,,
Valeria Games,Gaming,,,0.0,,,,,
Vana,Blockchains (L1),85.34,A,0.0,,,,,
Vaultka,Derivative exchanges,,,0.0,33.962894248608535,Slow Growth,50.0,Fairly Valued,
VeThor Token,,73.5,BBB,,,,,,
Veax,Exchanges (DEX),,,0.0,,,,,
Vechain,Lending,92.59,AA,62.67057362728197,99.07407407407408,Exceptional Growth,70.5859375,Undervalued,0.0x
Velodrome,Exchanges (DEX),,,50.95855686758603,71.53864668655409,Strong Growth,71.14935064935065,Undervalued,0.0x
Venice,Infrastructure,,,0.0,60.16379086663207,Steady Growth,55.0,Fairly Valued,
Venom Bridge,,74.11,BBB,,,,,,
Venus USDC,,73.26,BBB,,,,,,
Venus USDT,,68.62,BB,,,,,,
Venus USDT,Lending,68.62,BB,58.729369995647765,86.17202729044836,Exceptional Growth,84.21875,Undervalued,0.0x
Vertex,Derivative exchanges,,,0.0,76.62141737572772,Strong Growth,82.52083333333334,Undervalued,0.0x
Verus,,58.24,B,,,,,,
Vesta Finance,Stablecoin issuers,,,0.0,43.660714285714285,Slow Growth,32.85714285714286,Overvalued,0.0x
VibrantX,Asset management,,,0.0,,,,,
Viction,Blockchains (L1),,,0.0,43.755411255411246,Slow Growth,24.94261786600496,Overvalued,0.0x
Virtuals Protocol,Infrastructure,80.9,A,0.0,91.48936170212764,Exceptional Growth,,,
Volmex,Derivative exchanges,,,,45.94827586206897,Steady Growth,,,
Voltz,Derivative exchanges,,,0.0,45.94827586206897,Steady Growth,,,
WAGMI (ex Popsicle Finance),Exchanges (DEX),,,0.0,54.51167964404896,Steady Growth,45.0,Fairly Valued,
WELL3,Social,,,0.0,56.388888888888886,Steady Growth,52.0,Fairly Valued,
WETH,,73.33,BBB,,,,,,
WINR Protocol,Prediction markets,,,0.0,55.0,Steady Growth,,,
WOO Token,Exchanges (DEX),83.9,A,0.0,77.25509825732296,Strong Growth,52.0,Fairly Valued,
WOO Token,,83.9,A,,,,,,
Walrus,,85.29,A,,,,,,
Wapal,NFT marketplaces,,,0.0,,,,,
Wasabi,Derivative exchanges,,,0.0,,,,,
Waves,,74.12,BBB,,,,,,
White Whale,Exchanges (DEX),,,0.0,,,,,
WhiteSwap,Exchanges (DEX),,,0.0,,,,,
WigoSwap,Infrastructure,,,0.0,48.59756097560975,Steady Growth,50.0,Fairly Valued,
Wild Forest,Gaming,,,0.0,,,,,
Wombat Exchange,Exchanges (DEX),,,16.964873845336847,37.895894428152495,Slow Growth,28.392045454545457,Overvalued,0.0x
World Mobile Token,,81.97,A,,,,,,
World of Dypians,Gaming,,,0.0,,,,,
Worldcoin,Blockchains (L2),85.19,A,0.0,89.51227887965693,Exceptional Growth,47.5,Fairly Valued,
Wormhole,Infrastructure,88.52,AA,0.0,,,,,
Would,,60.7,B,,,,,,
Wrapped AVAX,,79.08,A,,,,,,
Wrapped Bitcoin,,85.77,A,,,,,,
Wrapped Solana,,74.0,BBB,,,,,,
Wrapped TRON,,72.26,BBB,,,,,,
X Layer,Blockchains (L2),,,0.0,,,,,
X2Y2,NFT marketplaces,,,39.0952594610098,40.9375,Slow Growth,64.62500000000001,Fairly Valued,0.0x
XAI,Blockchains (L3),,,4.112146204819793,85.00000000000001,Exceptional Growth,52.0,Fairly Valued,
XCAD Network,Social,,,0.0,40.27777777777776,Slow Growth,45.0,Fairly Valued,
XDC Network,Blockchains (L1),88.35,AA,0.0,42.5,Slow Growth,,,
XGamble,Prediction markets,,,0.0,,,,,
XOXNO,NFT marketplaces,,,0.0,20.0,Stagnant/Declining,,,
XPLA,Blockchains (L1),,,0.0,28.699494949494948,Slow Growth,40.0,Fairly Valued,
XRP Ledger,Blockchains (L1),94.25,AAA,0.0,95.45454545454544,Exceptional Growth,,,
XRP Ledger,,94.25,AAA,,,,,,
XYO,,82.93,A,,,,,,
XYO,Bridges,82.93,A,0.0,35.0,Slow Growth,50.0,Fairly Valued,
YOLO Games,Gaming,,,0.0,39.7875816993464,Slow Growth,52.0,Fairly Valued,
Yearn Finance,Asset management,70.16,BB,0.0,96.2854349951124,Exceptional Growth,55.0,Fairly Valued,
Yield Guild Games,Gaming,,,0.0,79.79847494553377,Strong Growth,50.99999999999999,Fairly Valued,
ZKEX,Exchanges (DEX),,,0.0,,,,,
ZKFair,Blockchains (L2),,,0.0,52.11538461538461,Steady Growth,,,
ZKNation,,78.95,BBB,,,,,,
ZKNation,Lending,78.95,BBB,0.0,,,,,
ZKX,Derivative exchanges,,,0.0,20.890538033395178,Stagnant/Declining,45.0,Fairly Valued,
ZNS Connect Name Service,Infrastructure,,,0.0,,,,,
Zcash,Blockchains (L1),87.68,AA,0.0,62.95454545454546,Steady Growth,88.1281017369727,Undervalued,0.0x
Zeebu Protocol,,83.39,A,,,,,,
Zeitgeist,Blockchains (L2),,,0.0,17.00908412145346,Stagnant/Declining,,,
Zerion,Infrastructure,,,35.11925409569828,77.77777777777779,Strong Growth,50.0,Fairly Valued,
ZeroLend,Lending,,,0.0,57.25563909774437,Steady Growth,68.66666666666667,Fairly Valued,0.0x
Zeta Markets,Derivative exchanges,,,0.0,66.4795918367347,Strong Growth,,,
ZetaChain,Blockchains (L1),89.73,AA,0.0,58.4090909090909,Steady Growth,,,
Zeus Network,,75.97,BBB,,,,,,
Zignaly,,85.6,A,,,,,,
Zilliqa,,83.27,A,,,,,,
Zircuit,Blockchains (L2),,,0.0,78.14077227120704,Strong Growth,45.0,Fairly Valued,
Zora,NFT marketplaces,,,12.76051336616128,80.0,Exceptional Growth,,,
Zyberswap,Exchanges (DEX),,,14.20027212765285,30.674507870698083,Slow Growth,55.30539772727272,Fairly Valued,0.0x
Zyfi,Infrastructure,,,0.0,,,,,
aelf,,70.92,BB,,,,,,
briq,Infrastructure,,,0.0,,,,,
cat in a dogs world,,67.78,BB,,,,,,
dForce,Lending,,,0.0,78.06042884990252,Strong Growth,56.66666666666666,Fairly Valued,
dHedge,Asset management,,,0.0,47.79325513196481,Steady Growth,45.0,Fairly Valued,
dYdX,Derivative exchanges,,,0.0,84.93506493506493,Exceptional Growth,37.85714285714286,Overvalued,0.0x
deBridge,Interoperability,,,34.073654235107256,0.0,Stagnant/Declining,,,
deBridge DLN,Bridges,,,42.24018962723634,28.571428571428573,Slow Growth,,,
defi.money,Stablecoin issuers,,,0.0,,,,,
dogwifhat,,78.84,BBB,,,,,,
eCash,,73.95,BBB,,,,,,
friend.tech,Social,,,0.795246210771698,48.4567901234568,Steady Growth,11.111111111111112,Overvalued,
iZUMi Finance,Exchanges (DEX),,,0.0,50.94994438264739,Steady Growth,45.0,Fairly Valued,
inkySwap,Exchanges (DEX),,,0.0,,,,,
karpatkey,Infrastructure,,,0.0,,,,,
mETH Protocol,,77.48,BBB,,,,,,
marginfi,Lending,,,0.0,,,,,
nftperp,Derivative exchanges,,,0.0,,,,,
peaq,Blockchains (L1),,,0.0,29.149477973007382,Slow Growth,,,
pods.media,Social,,,0.0,,,,,
pump.fun,Exchanges (DEX),,,0.0,,,,,
re.al,Blockchains (L2),,,0.0,11.538461538461538,Stagnant/Declining,,,
unshETH,Asset management,,,0.0,5.225806451612904,Stagnant/Declining,45.0,Fairly Valued,
usdx.money,Stablecoin issuers,,,0.0,,,,,
vfat.io,Asset management,,,0.0,,,,,
xExchange,Exchanges (DEX),,,0.0,41.63793103448276,Slow Growth,27.5,Overvalued,0.0x
xNINJA,Social,,,0.0,0.0,Stagnant/Declining,,,
yearn.finance,Asset management,,,0.0,96.2854349951124,Exceptional Growth,55.0,Fairly Valued,
zkDX,Derivative exchanges,,,0.0,26.82235621521336,Slow Growth,50.0,Fairly Valued,
zkLend,Lending,,,0.0,41.62158869395712,Slow Growth,45.0,Fairly Valued,
zkMe,Infrastructure,,,0.0,,,,,
zkSwap Finance,Exchanges (DEX),,,0.0,48.15270935960592,Steady Growth,49.99999999999999,Fairly Valued,
zkSync,Blockchains (L2),85.15,A,37.3280384228913,76.67636131763253,Strong Growth,37.21840659340659,Overvalued,0.0x
zkSync Era,Blockchains (L2),,,37.3280384228913,76.67636131763253,Strong Growth,37.21840659340659,Overvalued,0.0x
zkSync Era Bridge,Bridges,,,0.0,59.07235621521336,Steady Growth,,,
zkSync Lite,Blockchains (L2),,,0.0,,,,,
