Project,Market Sector,User Growth Score,Growth Category,Explanation
ZKEX,Exchanges (DEX),,,"Project 'ZKEX' in the 'Exchanges (DEX)' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Magic Eden,NFT marketplaces,100.0,Exceptional Growth,"Project 'Magic Eden' in the 'NFT marketplaces' sector has an overall User Growth Score of 100.00, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.40)
  - Transaction Volume: 100.00 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Sei Network,Blockchains (L1),56.13636363636363,Steady Growth,"Project 'Sei Network' in the 'Blockchains (L1)' sector has an overall User Growth Score of 56.14, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 56.14 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.25)
  - User Growth: nan (Weight: 0.15)"
Ether.fi,Liquid staking,68.38848039215686,Strong Growth,"Project 'Ether.fi' in the 'Liquid staking' sector has an overall User Growth Score of 68.39, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 42.50 (Weight: 0.30)
  - Transaction Volume: 76.47 (Weight: 0.20)
  - User Growth: 88.89 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)"
COTI,Blockchains (L2),86.53846153846155,Exceptional Growth,"Project 'COTI' in the 'Blockchains (L2)' sector has an overall User Growth Score of 86.54, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 86.54 (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
Panora Exchange,Exchanges (DEX),,,"Project 'Panora Exchange' in the 'Exchanges (DEX)' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Carv,Infrastructure,59.012389724961075,Steady Growth,"Project 'Carv' in the 'Infrastructure' sector has an overall User Growth Score of 59.01, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 49.41 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: 87.80 (Weight: 0.10)"
Numerai,Asset management,88.36754643206255,Exceptional Growth,"Project 'Numerai' in the 'Asset management' sector has an overall User Growth Score of 88.37, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 87.88 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 90.32 (Weight: 0.10)"
API3,Infrastructure,84.19142449403218,Exceptional Growth,"Project 'API3' in the 'Infrastructure' sector has an overall User Growth Score of 84.19, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 93.62 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: 55.91 (Weight: 0.10)"
Reya,Blockchains (L2),,,"Project 'Reya' in the 'Blockchains (L2)' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
BadgerDAO,Asset management,90.14662756598241,Exceptional Growth,"Project 'BadgerDAO' in the 'Asset management' sector has an overall User Growth Score of 90.15, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 90.91 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 87.10 (Weight: 0.10)"
zkSwap Finance,Exchanges (DEX),48.15270935960592,Steady Growth,"Project 'zkSwap Finance' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 48.15, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 35.00 (Weight: 0.30)
  - Transaction Volume: 58.02 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Nodle,Blockchains (L2),29.314763643037764,Slow Growth,"Project 'Nodle' in the 'Blockchains (L2)' sector has an overall User Growth Score of 29.31, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 26.67 (Weight: 0.30)
  - Transaction Volume: 23.46 (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: 14.63 (Weight: 0.15)
  - User Growth: 73.91 (Weight: 0.10)"
Sanko,Blockchains (L3),,,"Project 'Sanko' in the 'Blockchains (L3)' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.35)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.15)"
Opus,Stablecoin issuers,40.9375,Slow Growth,"Project 'Opus' in the 'Stablecoin issuers' sector has an overall User Growth Score of 40.94, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Transaction Volume: 40.94 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.20)"
Stacks,Blockchains (L2),90.38461538461539,Exceptional Growth,"Project 'Stacks' in the 'Blockchains (L2)' sector has an overall User Growth Score of 90.38, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 90.38 (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
Dinero,Liquid staking,8.705882352941178,Stagnant/Declining,"Project 'Dinero' in the 'Liquid staking' sector has an overall User Growth Score of 8.71, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 21.76 (Weight: 0.20)
  - User Growth: 0.00 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)"
Folks Finance,Lending,,,"Project 'Folks Finance' in the 'Lending' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.40)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Wormhole,Infrastructure,,,"Project 'Wormhole' in the 'Infrastructure' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: nan (Weight: 0.10)"
Sanctum,Liquid staking,39.411764705882355,Slow Growth,"Project 'Sanctum' in the 'Liquid staking' sector has an overall User Growth Score of 39.41, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 39.41 (Weight: 0.20)
  - User Growth: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)"
Squid,Infrastructure,,,"Project 'Squid' in the 'Infrastructure' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: nan (Weight: 0.10)"
Merkly,Bridges,,,"Project 'Merkly' in the 'Bridges' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Bridge Volume: nan (Weight: 0.50)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Mellow Protocol,Infrastructure,,,"Project 'Mellow Protocol' in the 'Infrastructure' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: nan (Weight: 0.10)"
MyShell,Infrastructure,,,"Project 'MyShell' in the 'Infrastructure' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: nan (Weight: 0.10)"
Karak,Blockchains (L2),,,"Project 'Karak' in the 'Blockchains (L2)' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
Lista DAO,Stablecoin issuers,,,"Project 'Lista DAO' in the 'Stablecoin issuers' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.20)"
Ready Games Network,Gaming,,,"Project 'Ready Games Network' in the 'Gaming' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.50)
  - Transaction Volume: nan (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Term Structure,Blockchains (L2),,,"Project 'Term Structure' in the 'Blockchains (L2)' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
Harmony,Blockchains (L1),,,"Project 'Harmony' in the 'Blockchains (L1)' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.25)
  - User Growth: nan (Weight: 0.15)"
Enzyme Finance,Asset management,78.63196480938419,Strong Growth,"Project 'Enzyme Finance' in the 'Asset management' sector has an overall User Growth Score of 78.63, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 81.82 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 65.89 (Weight: 0.10)"
MetaDAO,Infrastructure,24.893617021276597,Stagnant/Declining,"Project 'MetaDAO' in the 'Infrastructure' sector has an overall User Growth Score of 24.89, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 24.89 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: nan (Weight: 0.10)"
Koi Finance,Exchanges (DEX),22.71264367816092,Stagnant/Declining,"Project 'Koi Finance' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 22.71, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 28.39 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 0.00 (Weight: 0.10)"
Mimic,Infrastructure,,,"Project 'Mimic' in the 'Infrastructure' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: nan (Weight: 0.10)"
Nostra,Lending,38.57212475633528,Slow Growth,"Project 'Nostra' in the 'Lending' sector has an overall User Growth Score of 38.57, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.40)
  - Transaction Volume: 43.16 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 24.81 (Weight: 0.10)"
Inverse Finance,Stablecoin issuers,,,"Project 'Inverse Finance' in the 'Stablecoin issuers' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.20)"
Satori Finance,Derivative exchanges,,,"Project 'Satori Finance' in the 'Derivative exchanges' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
re.al,Blockchains (L2),11.538461538461538,Stagnant/Declining,"Project 're.al' in the 'Blockchains (L2)' sector has an overall User Growth Score of 11.54, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 11.54 (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
Zircuit,Blockchains (L2),78.14077227120704,Strong Growth,"Project 'Zircuit' in the 'Blockchains (L2)' sector has an overall User Growth Score of 78.14, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 82.69 (Weight: 0.25)
  - Bridge Volume: 100.00 (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.15)
  - User Growth: 23.04 (Weight: 0.10)"
Subsocial,Blockchains (L2),14.867902132710494,Stagnant/Declining,"Project 'Subsocial' in the 'Blockchains (L2)' sector has an overall User Growth Score of 14.87, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: 29.05 (Weight: 0.30)
  - Transaction Volume: 3.85 (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: 4.88 (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
Reservoir.xyz,Stablecoin issuers,,,"Project 'Reservoir.xyz' in the 'Stablecoin issuers' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.20)"
B.Protocol,Infrastructure,,,"Project 'B.Protocol' in the 'Infrastructure' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: nan (Weight: 0.10)"
SPOT Protocol (ex Ampleforth),Stablecoin issuers,31.428571428571423,Slow Growth,"Project 'SPOT Protocol (ex Ampleforth)' in the 'Stablecoin issuers' sector has an overall User Growth Score of 31.43, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Transaction Volume: 35.00 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 24.29 (Weight: 0.20)"
Aspect,NFT marketplaces,,,"Project 'Aspect' in the 'NFT marketplaces' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.40)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Illuvium,Gaming,88.45315904139433,Exceptional Growth,"Project 'Illuvium' in the 'Gaming' sector has an overall User Growth Score of 88.45, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.50)
  - Transaction Volume: 94.44 (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 76.47 (Weight: 0.10)"
ERAGON,Gaming,,,"Project 'ERAGON' in the 'Gaming' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.50)
  - Transaction Volume: nan (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Tapos,Gaming,,,"Project 'Tapos' in the 'Gaming' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.50)
  - Transaction Volume: nan (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Veax,Exchanges (DEX),,,"Project 'Veax' in the 'Exchanges (DEX)' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Phala,Blockchains (L2),65.98589998851321,Strong Growth,"Project 'Phala' in the 'Blockchains (L2)' sector has an overall User Growth Score of 65.99, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 53.21 (Weight: 0.30)
  - Transaction Volume: 80.77 (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: 66.89 (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
Celo Dollar,Stablecoin issuers,,,"Project 'Celo Dollar' in the 'Stablecoin issuers' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.20)"
Homora,Lending,73.68421052631578,Strong Growth,"Project 'Homora' in the 'Lending' sector has an overall User Growth Score of 73.68, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.40)
  - Transaction Volume: 73.68 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
BOB,Blockchains (L2),65.438443670151,Strong Growth,"Project 'BOB' in the 'Blockchains (L2)' sector has an overall User Growth Score of 65.44, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 69.29 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: 57.74 (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
Slingshot,Exchanges (DEX),,,"Project 'Slingshot' in the 'Exchanges (DEX)' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Ajuna Network,Blockchains (L2),25.384615384615387,Slow Growth,"Project 'Ajuna Network' in the 'Blockchains (L2)' sector has an overall User Growth Score of 25.38, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 25.38 (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
Mars Protocol,Blockchains (L1),3.0303030303030303,Stagnant/Declining,"Project 'Mars Protocol' in the 'Blockchains (L1)' sector has an overall User Growth Score of 3.03, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 3.03 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.25)
  - User Growth: nan (Weight: 0.15)"
usdx.money,Stablecoin issuers,,,"Project 'usdx.money' in the 'Stablecoin issuers' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.20)"
Polimec,Blockchains (L2),31.74589347934295,Slow Growth,"Project 'Polimec' in the 'Blockchains (L2)' sector has an overall User Growth Score of 31.75, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 33.81 (Weight: 0.30)
  - Transaction Volume: 35.00 (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: 22.20 (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
Black Panther,Asset management,25.151515151515156,Slow Growth,"Project 'Black Panther' in the 'Asset management' sector has an overall User Growth Score of 25.15, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 25.15 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Blackbird,Social,,,"Project 'Blackbird' in the 'Social' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.60)
  - Transaction Volume: nan (Weight: 0.10)
  - Transaction Count: nan (Weight: 0.10)
  - User Growth: nan (Weight: 0.20)"
X Layer,Blockchains (L2),,,"Project 'X Layer' in the 'Blockchains (L2)' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
Ring Protocol,Exchanges (DEX),9.775305895439377,Stagnant/Declining,"Project 'Ring Protocol' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 9.78, categorized as 'Stagnant/Declining'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 6.90 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 21.29 (Weight: 0.10)"
EYWA,Bridges,,,"Project 'EYWA' in the 'Bridges' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Bridge Volume: nan (Weight: 0.50)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Meteor Wallet,Infrastructure,,,"Project 'Meteor Wallet' in the 'Infrastructure' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: nan (Weight: 0.10)"
Wapal,NFT marketplaces,,,"Project 'Wapal' in the 'NFT marketplaces' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.40)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Meso Finance,Lending,,,"Project 'Meso Finance' in the 'Lending' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.40)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Monerium,Stablecoin issuers,,,"Project 'Monerium' in the 'Stablecoin issuers' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.20)"
Lynex,Exchanges (DEX),51.12068965517242,Steady Growth,"Project 'Lynex' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 51.12, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 51.12 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Alchemix Finance,Asset management,77.2238514173998,Strong Growth,"Project 'Alchemix Finance' in the 'Asset management' sector has an overall User Growth Score of 77.22, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 78.79 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 70.97 (Weight: 0.10)"
The Standard,Lending,36.315789473684205,Slow Growth,"Project 'The Standard' in the 'Lending' sector has an overall User Growth Score of 36.32, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.40)
  - Transaction Volume: 36.32 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Metaplex,NFT marketplaces,77.77777777777779,Strong Growth,"Project 'Metaplex' in the 'NFT marketplaces' sector has an overall User Growth Score of 77.78, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.40)
  - Transaction Volume: 77.78 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Sologenic,Exchanges (DEX),66.63793103448276,Strong Growth,"Project 'Sologenic' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 66.64, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 66.64 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Coinshift,Stablecoin issuers,,,"Project 'Coinshift' in the 'Stablecoin issuers' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.20)"
Rootstock,Blockchains (L2),,,"Project 'Rootstock' in the 'Blockchains (L2)' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: nan (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
Zeta Markets,Derivative exchanges,66.4795918367347,Strong Growth,"Project 'Zeta Markets' in the 'Derivative exchanges' sector has an overall User Growth Score of 66.48, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 66.48 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Hydro Protocol,Liquid staking,27.647058823529413,Slow Growth,"Project 'Hydro Protocol' in the 'Liquid staking' sector has an overall User Growth Score of 27.65, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 27.65 (Weight: 0.20)
  - User Growth: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)"
Blast Bridge,Bridges,55.90445269016698,Steady Growth,"Project 'Blast Bridge' in the 'Bridges' sector has an overall User Growth Score of 55.90, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 44.77 (Weight: 0.20)
  - Bridge Volume: 60.36 (Weight: 0.50)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
